SN,open,high,low,close,change,pct_change,turnover,date
61,"2,358.24","2,359.27","2,303.70","2,307.44",-48.73,-2.07,"1,423,498,292.37",02/05/2022
62,"2,380.16","2,390.11","2,351.57","2,356.17",-20,-0.84,"1,496,246,808.20",28/04/2022
63,"2,373.10","2,376.20","2,348.76","2,376.17",5.17,0.22,"1,089,992,035.93",27/04/2022
64,"2,386.04","2,401.57","2,358.82","2,370.99",-15.02,-0.63,"1,046,014,417.20",26/04/2022
65,"2,423.74","2,443.95","2,382.37","2,386.02",-34.95,-1.44,"2,042,253,182.30",25/04/2022
66,"2,331.51","2,430.07","2,331.51","2,420.97",95.52,4.11,"2,531,275,592.84",24/04/2022
67,"2,327.08","2,333.18","2,287.00","2,325.45",4.94,0.21,"1,629,168,847.89",21/04/2022
68,"2,364.47","2,367.03","2,317.01","2,320.52",-36.73,-1.56,"1,458,737,755.45",20/04/2022
69,"2,347.21","2,372.21","2,314.80","2,357.25",13.37,0.57,"1,326,865,931.83",19/04/2022
70,"2,386.66","2,387.12","2,342.04","2,343.87",-41.78,-1.75,"1,530,692,955.67",18/04/2022
71,"2,422.34","2,437.42","2,380.16","2,385.65",-29.6,-1.23,"1,440,723,182.32",17/04/2022
72,"2,385.24","2,415.25","2,367.02","2,415.25",30.24,1.27,"1,476,318,104.44",13/04/2022
73,"2,424.71","2,428.57","2,379.57","2,385.01",-34.79,-1.44,"1,524,364,418.10",12/04/2022
74,"2,471.81","2,508.88","2,416.22","2,419.80",-44.56,-1.81,"2,260,786,628.14",11/04/2022
75,"2,427.97","2,475.78","2,427.97","2,464.36",35.69,1.47,"2,121,511,279.53",07/04/2022
76,"2,451.81","2,457.61","2,417.08","2,428.66",-23.41,-0.95,"1,995,964,384.22",06/04/2022
77,"2,507.77","2,507.77","2,434.56","2,452.07",-46.46,-1.86,"2,671,232,388.39",05/04/2022
78,"2,517.41","2,525.24","2,497.48","2,498.53",-14.88,-0.59,"1,584,671,562.02",04/04/2022
79,"2,544.48","2,546.65","2,510.69","2,513.42",-30.89,-1.21,"1,460,773,729.18",03/04/2022
80,"2,568.76","2,584.22","2,538.78","2,544.31",-23.95,-0.93,"1,890,164,686.39",31/03/2022
81,"2,527.77","2,568.26","2,516.12","2,568.26",40.68,1.61,"2,250,117,296.35",30/03/2022
82,"2,542.65","2,561.98","2,520.19","2,527.58",-14.26,-0.56,"1,750,628,199.30",29/03/2022
83,"2,574.12","2,580.26","2,538.22","2,541.84",-30.43,-1.18,"2,545,321,813.93",28/03/2022
84,"2,623.20","2,641.51","2,569.02","2,572.26",-41.41,-1.58,"4,989,514,415.77",27/03/2022
85,"2,630.93","2,638.62","2,611.96","2,613.67",-16.69,-0.63,"3,248,943,824.64",24/03/2022
86,"2,651.41","2,653.24","2,623.08","2,630.36",-20.34,-0.77,"2,046,352,547.24",23/03/2022
87,"2,634.42","2,658.06","2,634.42","2,650.70",16.04,0.61,"2,518,894,178.29",22/03/2022
88,"2,620.13","2,634.66","2,601.36","2,634.66",18.07,0.69,"2,592,718,131.44",21/03/2022
89,"2,634.11","2,643.81","2,607.98","2,616.59",-14.67,-0.56,"2,274,626,190.52",20/03/2022
90,"2,653.57","2,660.64","2,626.02","2,631.25",-19.72,-0.74,"2,570,401,188.08",16/03/2022
91,"2,673.55","2,675.83","2,637.23","2,650.97",-17.15,-0.64,"3,364,229,175.35",15/03/2022
92,"2,677.97","2,682.57","2,650.42","2,668.11",0.15,0.01,"1,342,232,838.50",14/03/2022
93,"2,575.27","2,667.97","2,575.27","2,667.97",101.07,3.94,"4,870,715,387.13",13/03/2022
94,"2,512.04","2,566.90","2,499.03","2,566.90",52.31,2.08,"2,791,872,969.76",10/03/2022
95,"2,542.42","2,557.08","2,504.48","2,514.58",-30.36,-1.19,"2,352,317,142.03",09/03/2022
96,"2,542.66","2,566.29","2,538.44","2,544.94",1.55,0.06,"2,600,930,402.61",07/03/2022
97,"2,542.57","2,568.11","2,528.15","2,543.39",-3.66,-0.14,"2,493,241,272.52",06/03/2022
98,"2,612.51","2,612.51","2,542.77","2,547.04",-63.54,-2.43,"3,621,143,979.32",02/03/2022
99,"2,662.26","2,683.47","2,607.00","2,610.58",-43.12,-1.62,"3,660,189,867.56",28/02/2022
100,"2,660.39","2,680.39","2,638.64","2,653.70",-7.73,-0.29,"3,273,065,909.76",27/02/2022
101,"2,715.44","2,715.44","2,654.98","2,661.44",-58.99,-2.17,"4,293,864,191.66",24/02/2022
102,"2,732.48","2,747.18","2,716.44","2,720.43",-15.5,-0.57,"3,131,210,281.88",23/02/2022
103,"2,719.89","2,750.09","2,719.89","2,735.93",17.42,0.64,"3,212,887,822.11",22/02/2022
104,"2,695.26","2,718.81","2,694.16","2,718.51",25.41,0.94,"2,997,681,072.21",21/02/2022
105,"2,713.52","2,715.83","2,670.39","2,693.10",-39.4,-1.44,"4,086,474,828.31",20/02/2022
106,"2,735.33","2,745.21","2,723.77","2,732.51",-1.94,-0.07,"2,278,173,660.05",17/02/2022
107,"2,759.37","2,771.69","2,725.34","2,734.44",-19.84,-0.72,"3,026,330,784.14",16/02/2022
108,"2,703.35","2,754.29","2,703.35","2,754.29",53.3,1.97,"3,233,318,614.47",15/02/2022
109,"2,697.37","2,728.13","2,695.12","2,700.98",0.08,0,"3,684,009,915.07",14/02/2022
110,"2,783.89","2,783.89","2,697.78","2,700.89",-100.67,-3.59,"5,977,214,730.64",13/02/2022
111,"2,813.33","2,825.33","2,791.10","2,801.56",-11.96,-0.43,"3,829,533,350.00",10/02/2022
112,"2,837.33","2,837.33","2,800.08","2,813.52",-22.06,-0.78,"3,471,109,182.00",09/02/2022
113,"2,877.58","2,921.18","2,826.35","2,835.58",-16.3,-0.57,"6,287,217,985.00",08/02/2022
114,"2,834.26","2,853.78","2,822.88","2,851.88",15.71,0.55,"5,022,017,181.00",07/02/2022
115,"2,877.04","2,877.04","2,829.17","2,836.17",-40.57,-1.41,"5,836,414,510.47",06/02/2022
116,"2,898.61","2,925.05","2,871.82","2,876.74",-14.6,-0.5,"8,612,174,162.00",03/02/2022
117,"2,875.74","2,896.47","2,856.68","2,891.33",19.29,0.67,"6,574,842,418.00",01/02/2022
118,"2,895.77","2,907.61","2,860.92","2,872.05",-13.48,-0.47,"5,154,177,598.00",31/01/2022
119,"2,805.01","2,885.53","2,805.01","2,885.53",105.55,3.8,"6,324,274,039.00",30/01/2022
120,"2,778.89","2,803.75","2,776.88","2,779.98",3.33,0.12,"3,343,413,684.00",27/01/2022
121,"2,817.17","2,819.74","2,761.28","2,776.65",-38.42,-1.36,"4,313,154,042.17",26/01/2022
122,"2,827.75","2,857.61","2,781.48","2,815.06",-5.59,-0.2,"5,395,672,627.02",25/01/2022
123,"2,926.12","2,926.12","2,804.07","2,820.65",-99.86,-3.42,"8,888,513,178.00",24/01/2022
124,"2,942.97","2,961.93","2,906.28","2,920.51",-10.83,-0.37,"7,030,508,263.00",23/01/2022
125,"2,901.51","2,931.34","2,884.91","2,931.34",33.03,1.14,"5,773,120,409.17",20/01/2022
126,"2,945.63","2,950.14","2,890.00","2,898.31",-38.35,-1.31,"6,021,311,881.03",19/01/2022
127,"2,953.11","2,981.35","2,916.06","2,936.66",-10.78,-0.37,"8,443,419,561.86",18/01/2022
128,"2,944.92","2,955.60","2,907.95","2,947.43",20.69,0.71,"7,901,890,668.00",17/01/2022
129,"2,873.42","2,940.13","2,873.42","2,926.74",69,2.41,"9,676,317,059.00",16/01/2022
130,"2,808.80","2,857.75","2,802.80","2,857.75",54.12,1.93,"6,669,748,567.76",13/01/2022
131,"2,839.87","2,874.80","2,796.66","2,803.62",-30.51,-1.08,"8,033,212,742.00",12/01/2022
132,"2,792.63","2,847.38","2,771.64","2,834.13",49.19,1.77,"6,724,526,197.50",11/01/2022
133,"2,772.09","2,804.84","2,756.03","2,784.95",19.43,0.7,"7,123,424,035.00",10/01/2022
134,"2,699.87","2,770.06","2,699.87","2,765.51",73.05,2.71,"7,101,831,591.11",09/01/2022
135,"2,647.76","2,692.47","2,633.91","2,692.47",43.29,1.63,"3,676,846,349.00",06/01/2022
136,"2,687.75","2,699.94","2,641.61","2,649.18",-30.77,-1.15,"4,621,598,583.00",05/01/2022
137,"2,619.22","2,679.95","2,594.22","2,679.95",63.01,2.41,"4,320,269,828.00",04/01/2022
138,"2,595.22","2,634.54","2,594.04","2,616.94",32.03,1.24,"4,533,017,178.57",03/01/2022
139,"2,538.25","2,584.91","2,529.88","2,584.91",60.41,2.39,"4,126,980,067.52",02/01/2022
140,"2,520.55","2,538.65","2,513.14","2,524.50",5.51,0.22,"3,623,480,292.00",29/12/2021
141,"2,523.87","2,533.26","2,487.41","2,518.99",-2.66,-0.11,"3,125,575,632.00",28/12/2021
142,"2,600.21","2,615.47","2,518.80","2,521.65",-69.77,-2.69,"5,607,439,671.00",27/12/2021
143,"2,531.43","2,595.71","2,531.43","2,591.42",71.2,2.82,"5,173,200,503.00",26/12/2021
144,"2,522.51","2,542.11","2,485.55","2,520.23",12.53,0.5,"4,490,266,410.00",23/12/2021
145,"2,425.05","2,508.46","2,425.05","2,507.70",92.16,3.82,"4,523,338,143.00",22/12/2021
146,"2,360.33","2,415.55","2,360.33","2,415.55",56.73,2.41,"2,383,259,847.00",21/12/2021
147,"2,390.81","2,390.81","2,346.96","2,358.81",-17.93,-0.75,"2,464,689,863.00",20/12/2021
148,"2,415.77","2,417.21","2,372.87","2,376.74",-37.87,-1.57,"2,301,751,968.00",16/12/2021
149,"2,433.20","2,490.62","2,379.30","2,414.62",-4.23,-0.17,"4,588,390,678.00",15/12/2021
150,"2,283.67","2,418.85","2,283.67","2,418.85",137.18,6.01,"1,842,647,144.00",14/12/2021
151,"2,351.93","2,351.93","2,259.63","2,281.67",-79.57,-3.37,"3,995,604,178.00",13/12/2021
152,"2,448.66","2,455.56","2,360.67","2,361.27",-88.7,-3.62,"3,382,509,520.00",12/12/2021
153,"2,454.41","2,464.70","2,428.84","2,449.97",-5.84,-0.24,"2,673,308,792.00",09/12/2021
154,"2,508.28","2,511.60","2,448.91","2,455.80",-53.1,-2.12,"2,663,909,620.00",08/12/2021
155,"2,549.36","2,590.39","2,506.61","2,508.90",-37.18,-1.46,"3,128,341,700.27",07/12/2021
156,"2,508.96","2,548.98","2,440.24","2,546.08",32.22,1.28,"4,542,345,271.00",06/12/2021
157,"2,586.82","2,586.95","2,505.13","2,513.87",-72.32,-2.8,"4,090,765,325.00",05/12/2021
158,"2,633.63","2,641.96","2,580.68","2,586.19",-47.47,-1.8,"3,413,589,126.00",02/12/2021
159,"2,628.68","2,649.80","2,628.68","2,633.65",5.28,0.2,"2,742,085,704.00",01/12/2021
160,"2,630.32","2,647.85","2,604.43","2,628.37",-1.6,-0.06,"3,089,041,991.00",30/11/2021
161,"2,650.54","2,677.63","2,622.32","2,629.97",-21.51,-0.81,"4,008,937,133.00",29/11/2021
162,"2,730.75","2,730.75","2,644.91","2,651.49",-80.29,-2.94,"5,835,135,055.00",28/11/2021
163,"2,736.84","2,746.06","2,721.38","2,731.78",-3.22,-0.12,"3,789,709,331.00",25/11/2021
164,"2,737.09","2,742.35","2,694.62","2,735.00",1.89,0.07,"4,217,415,337.00",24/11/2021
165,"2,765.67","2,765.67","2,720.03","2,733.12",-32.31,-1.17,"4,165,896,578.00",23/11/2021
166,"2,758.99","2,777.86","2,758.98","2,765.43",7.9,0.29,"3,929,261,627.00",22/11/2021
167,"2,771.75","2,779.84","2,750.01","2,757.53",-11.6,-0.42,"4,357,309,319.00",21/11/2021
168,"2,806.13","2,808.72","2,760.79","2,769.13",-32.39,-1.16,"6,271,867,230.00",18/11/2021
169,"2,795.19","2,825.89","2,795.19","2,801.52",16.95,0.61,"7,379,446,820.00",17/11/2021
170,"2,720.59","2,784.58","2,717.92","2,784.58",69.22,2.55,"5,521,650,856.75",16/11/2021
171,"2,688.06","2,728.32","2,685.81","2,715.35",26.44,0.98,"4,734,651,444.00",15/11/2021
172,"2,694.05","2,704.47","2,668.82","2,688.92",-1.38,-0.05,"4,096,219,525.40",14/11/2021
173,"2,750.03","2,750.03","2,687.83","2,690.29",-59.57,-2.17,"5,119,602,540.00",11/11/2021
174,"2,831.00","2,831.81","2,730.44","2,749.85",-79.79,-2.82,"6,527,729,547.00",09/11/2021
175,"2,854.38","2,862.96","2,821.73","2,829.64",-19.2,-0.67,"4,420,719,103.00",08/11/2021
176,"2,858.74","2,877.81","2,837.81","2,848.84",5.22,0.18,"6,553,059,152.00",03/11/2021
177,"2,824.83","2,845.06","2,789.59","2,843.62",23.76,0.84,"6,073,716,888.00",02/11/2021
178,"2,852.32","2,865.81","2,804.84","2,819.86",-17.75,-0.63,"7,777,510,778.00",01/11/2021
179,"2,785.95","2,837.74","2,776.05","2,837.61",55.5,1.99,"7,823,226,493.00",31/10/2021
180,"2,768.88","2,783.67","2,747.59","2,782.16",13.04,0.47,"5,395,268,628.00",28/10/2021
181,"2,753.40","2,806.65","2,717.57","2,769.13",18.06,0.66,"6,612,648,840.00",27/10/2021
182,"2,678.86","2,751.09","2,678.86","2,751.07",78.82,2.95,"6,318,340,932.00",26/10/2021
183,"2,588.75","2,672.25","2,588.75","2,672.25",87.63,3.39,"4,308,895,575.00",25/10/2021
184,"2,557.00","2,587.36","2,546.39","2,584.52",27.51,1.08,"2,773,420,135.00",24/10/2021
185,"2,573.05","2,585.21","2,543.11","2,556.95",-14.7,-0.57,"2,635,390,460.00",21/10/2021
186,"2,522.20","2,589.46","2,522.20","2,571.66",60.56,2.41,"2,679,028,155.00",20/10/2021
187,"2,588.24","2,588.24","2,482.14","2,510.73",-77.33,-2.99,"3,783,422,995.00",19/10/2021
188,"2,656.04","2,656.04","2,582.71","2,587.45",-69.51,-2.62,"2,966,899,791.00",18/10/2021
189,"2,644.41","2,665.42","2,625.13","2,656.96",17.59,0.67,"1,497,375,371.00",17/10/2021
190,"2,667.59","2,669.51","2,616.75","2,639.37",-23.19,-0.87,"3,639,468,093.00",11/10/2021
191,"2,687.19","2,718.53","2,654.75","2,662.58",-18.53,-0.69,"4,498,043,581.00",10/10/2021
192,"2,614.74","2,681.10","2,614.74","2,681.10",68.47,2.62,"4,500,658,142.00",06/10/2021
193,"2,569.79","2,619.85","2,569.79","2,612.65",41.84,1.63,"2,996,819,683.00",05/10/2021
194,"2,577.36","2,596.31","2,542.11","2,570.81",-6.68,-0.26,"3,627,799,935.00",04/10/2021
195,"2,637.36","2,640.41","2,573.31","2,577.49",-55.93,-2.12,"4,113,814,246.00",03/10/2021
196,"2,667.45","2,687.02","2,630.58","2,633.42",-32.51,-1.22,"3,700,029,507.00",30/09/2021
197,"2,616.78","2,665.93","2,579.82","2,665.93",50.58,1.93,"5,028,555,092.00",29/09/2021
198,"2,683.60","2,694.97","2,602.38","2,615.40",-70.01,-2.61,"5,745,488,179.00",28/09/2021
199,"2,762.60","2,769.10","2,678.36","2,685.41",-73.05,-2.65,"5,120,973,096.00",27/09/2021
200,"2,836.36","2,844.09","2,756.51","2,758.48",-61.27,-2.17,"6,500,117,780.00",26/09/2021
201,"2,833.52","2,882.32","2,804.53","2,819.65",2.7,0.1,"7,726,371,029.00",23/09/2021
202,"2,719.91","2,818.86","2,719.91","2,816.95",104.88,3.87,"6,179,300,158.00",22/09/2021
203,"2,693.42","2,766.41","2,615.49","2,712.07",13.83,0.51,"7,364,798,652.00",21/09/2021
204,"2,817.98","2,818.49","2,698.24","2,698.24",-114.02,-4.05,"8,493,401,009.00",20/09/2021
205,"2,889.21","2,889.21","2,795.51","2,812.38",-76.65,-2.65,"9,033,900,623.00",16/09/2021
206,"2,933.23","2,936.77","2,882.10","2,889.03",-40.26,-1.37,"5,358,097,251.00",15/09/2021
207,"2,950.37","2,963.65","2,916.77","2,929.28",-18.54,-0.63,"5,195,295,443.00",14/09/2021
208,"2,962.81","2,984.28","2,939.96","2,947.69",0.27,0.01,"9,290,554,155.00",13/09/2021
209,"2,887.50","2,947.42","2,887.50","2,947.42",71.43,2.48,"9,440,035,244.00",12/09/2021
210,"2,880.54","2,911.82","2,866.05","2,875.97",-0.62,-0.02,"7,050,770,070.00",09/09/2021
211,"2,940.91","2,940.91","2,874.07","2,876.59",-60.02,-2.04,"6,646,623,427.00",08/09/2021
212,"2,999.62","3,001.10","2,913.01","2,936.60",-44.18,-1.48,"7,495,812,161.00",07/09/2021
213,"2,816.93","2,980.79","2,805.00","2,980.78",161.94,5.74,"9,826,222,807.00",06/09/2021
214,"2,928.80","2,928.80","2,779.33","2,818.72",-108.26,-3.7,"11,240,391,045.00",05/09/2021
215,"2,976.17","2,993.40","2,916.26","2,926.89",-50.13,-1.68,"9,505,970,822.00",02/09/2021
216,"2,977.28","3,018.64","2,961.12","2,977.02",1.18,0.04,"9,351,799,655.00",01/09/2021
217,"3,047.26","3,047.26","2,970.51","2,975.84",-69.05,-2.27,"13,259,696,107.00",31/08/2021
218,"3,105.74","3,115.80","3,039.03","3,044.86",-49.18,-1.59,"15,651,244,505.00",29/08/2021
219,"3,085.04","3,107.57","3,069.88","3,094.05",17.6,0.57,"13,421,974,792.00",26/08/2021
220,"3,126.02","3,126.02","3,068.90","3,076.45",-48.42,-1.55,"12,092,103,504.00",25/08/2021
221,"3,186.47","3,186.47","3,122.31","3,124.87",-56.03,-1.76,"16,124,468,060.00",24/08/2021
222,"3,208.53","3,226.89","3,178.58","3,180.78",-18.24,-0.57,"20,499,210,767.00",19/08/2021
223,"3,172.29","3,220.33","3,154.10","3,198.60",38.28,1.21,"21,313,489,269.00",18/08/2021
224,"3,165.69","3,176.31","3,154.98","3,160.31",0.23,0.01,"18,204,939,237.00",17/08/2021
225,"3,165.09","3,169.18","3,138.10","3,160.05",5.72,0.18,"15,930,897,938.00",16/08/2021
226,"3,170.65","3,187.14","3,105.32","3,154.03",-24.88,-0.78,"21,647,600,655.00",15/08/2021
227,"3,172.75","3,188.93","3,167.79","3,179.00",16.41,0.52,"17,513,276,115.00",12/08/2021
228,"3,172.54","3,197.00","3,158.73","3,162.59",0.94,0.03,"15,455,941,754.00",11/08/2021
229,"3,120.29","3,164.34","3,114.77","3,161.44",51.86,1.67,"17,846,147,279.00",10/08/2021
230,"3,113.95","3,121.72","3,098.90","3,109.66",1.54,0.05,"14,137,338,881.00",09/08/2021
231,"3,117.02","3,121.14","3,099.18","3,108.12",0.66,0.02,"14,308,136,887.00",08/08/2021
232,"3,130.54","3,136.79","3,102.08","3,107.45",-16,-0.51,"14,316,249,965.00",05/08/2021
233,"3,126.99","3,140.38","3,121.13","3,123.24",12.15,0.39,"15,595,794,271.00",04/08/2021
234,"3,094.24","3,111.09","3,092.61","3,111.09",26.02,0.84,"11,529,217,775.00",03/08/2021
235,"3,087.91","3,100.80","3,079.48","3,085.07",4.06,0.13,"10,983,599,094.00",02/08/2021
236,"3,088.44","3,097.67","3,075.90","3,081.05",1.25,0.04,"12,103,871,862.00",01/08/2021
237,"3,103.53","3,107.00","3,076.75","3,079.83",-15.11,-0.49,"10,905,830,064.00",29/07/2021
238,"3,088.45","3,111.28","3,076.04","3,094.94",15.3,0.5,"13,291,954,535.00",28/07/2021
239,"3,030.51","3,085.80","3,002.10","3,079.67",29.24,0.96,"15,170,651,643.00",27/07/2021
240,"3,072.92","3,075.51","3,041.94","3,050.42",-8.24,-0.27,"14,139,785,431.00",26/07/2021
241,"3,017.56","3,058.63","3,017.56","3,058.63",54.31,1.81,"14,232,417,472.00",25/07/2021
242,"2,990.90","3,018.27","2,987.45","3,004.31",18.75,0.63,"11,114,121,616.00",22/07/2021
243,"3,005.43","3,005.43","2,975.71","2,985.57",-9.01,-0.3,"7,897,594,269.00",20/07/2021
244,"3,003.47","3,031.87","2,981.91","2,994.58",13.97,0.47,"11,813,754,607.00",19/07/2021
245,"2,892.47","2,980.61","2,892.47","2,980.61",97.21,3.37,"11,638,126,493.00",18/07/2021
246,"2,885.40","2,890.20","2,877.32","2,883.38",11.33,0.39,"8,143,614,302.00",15/07/2021
247,"2,882.06","2,883.19","2,857.87","2,872.05",1.01,0.04,"5,654,576,205.00",14/07/2021
248,"2,867.15","2,884.09","2,847.34","2,871.03",16.34,0.57,"5,546,356,224.00",13/07/2021
249,"2,915.56","2,929.70","2,843.17","2,854.76",-45.06,-1.55,"9,980,026,527.00",12/07/2021
250,"2,845.43","2,899.82","2,845.43","2,899.82",74.71,2.64,"8,061,382,496.00",11/07/2021
251,"2,815.28","2,832.54","2,793.43","2,825.10",23.97,0.86,"4,815,520,294.00",08/07/2021
252,"2,815.49","2,825.74","2,794.38","2,801.13",-16.97,-0.6,"4,585,861,976.00",07/07/2021
253,"2,829.99","2,834.77","2,813.39","2,818.10",-5.24,-0.19,"4,224,018,255.00",06/07/2021
254,"2,845.50","2,846.70","2,814.82","2,822.73",-11.78,-0.42,"4,582,212,579.00",05/07/2021
255,"2,852.24","2,857.63","2,832.56","2,834.51",-8.48,-0.3,"5,053,538,257.00",04/07/2021
256,"2,833.52","2,867.02","2,833.52","2,843.00",19.12,0.68,"6,707,775,484.00",01/07/2021
257,"2,835.66","2,844.02","2,782.21","2,823.87",-4.13,-0.15,"5,838,551,435.00",30/06/2021
258,"2,880.33","2,888.39","2,823.74","2,828.00",-47.49,-1.65,"6,726,361,869.00",29/06/2021
